t,w
2016-01-01 00:11:00,24761.007397892703
2016-01-01 01:11:00,100488.6427669674
2016-01-01 02:11:00,59257.6854497166
2016-01-01 03:11:00,84892.5880484715
2016-01-01 04:11:00,131031.36431177761
2016-01-01 05:11:00,89051.7669663402
2016-01-01 06:11:00,131294.068256274
2016-01-01 07:11:00,106038.22252975381
2016-01-01 08:11:00,137931.0362821908
2016-01-01 09:11:00,7562.1145313703
2016-01-01 10:11:00,20804.669342173198
2016-01-01 11:11:00,3606.195811482
2016-01-01 12:11:00,90627.5644848618
2016-01-01 13:11:00,48988.383887067896
2016-01-01 14:11:00,108751.38482426791
2016-01-01 15:11:00,77947.5986646687
2016-01-01 16:11:00,68131.5570151689
2016-01-01 17:11:00,172624.4841839595
2016-01-01 18:11:00,92871.3556492227
2016-01-01 19:11:00,60173.5212732225
2016-01-01 20:11:00,10723.9650080475
2016-01-01 21:11:00,123056.7226608489
2016-01-01 22:11:00,110770.3951212078
2016-01-01 23:11:00,5402.8963631775005
2016-01-02 00:11:00,54056.0612412513
2016-01-02 01:11:00,73841.7470085405
2016-01-02 02:11:00,23103.584139609597
2016-01-02 03:11:00,47190.5221997022
2016-01-02 04:11:00,133827.5485205538
2016-01-02 05:11:00,21864.725541222302
2016-01-02 06:11:00,86910.02753094751
2016-01-02 07:11:00,159317.2298280552
2016-01-02 08:11:00,29482.4223863334
2016-01-02 09:11:00,38119.7847168402
2016-01-02 10:11:00,72787.7591837517
2016-01-02 11:11:00,88121.5927368348
2016-01-02 12:11:00,82073.9720275827
2016-01-02 13:11:00,16582.805903997298
2016-01-02 14:11:00,22093.608572725803
2016-01-02 15:11:00,66786.9159372492
2016-01-02 16:11:00,45169.365914874295
2016-01-02 17:11:00,120351.67494148591
2016-01-02 18:11:00,44918.4643660797
2016-01-02 19:11:00,42439.6353820098
2016-01-02 20:11:00,157089.5649102285
2016-01-02 21:11:00,57338.9507541312
2016-01-02 22:11:00,10924.7024893611
2016-01-02 23:11:00,61432.894203733806
2016-01-03 00:11:00,49551.393147620096
2016-01-03 01:11:00,98278.43924514
2016-01-03 02:11:00,84962.1236991351
2016-01-03 03:11:00,44373.4429628919
2016-01-03 04:11:00,41698.8852798309
2016-01-03 05:11:00,34164.6520045776
2016-01-03 06:11:00,131300.1679757559
2016-01-03 07:11:00,165643.3019869716
2016-01-03 08:11:00,58584.716065062
2016-01-03 09:11:00,90720.92277440609
2016-01-03 10:11:00,80126.2845274815
2016-01-03 11:11:00,35113.0733087937
2016-01-03 12:11:00,34534.633956467704
2016-01-03 13:11:00,36693.2498234511
2016-01-03 14:11:00,37827.3663635868
2016-01-03 15:11:00,22433.506805714398
2016-01-03 16:11:00,84978.7771924509
2016-01-03 17:11:00,109195.75633867561
2016-01-03 18:11:00,50846.5881980001
2016-01-03 19:11:00,42139.8623487369
2016-01-03 20:11:00,94606.5680436657
2016-01-03 21:11:00,167630.4184078227
2016-01-03 22:11:00,13607.378741223301
2016-01-03 23:11:00,21544.7678704005
2016-01-04 00:11:00,38977.529162385
2016-01-04 01:11:00,89856.5023605909
2016-01-04 02:11:00,17439.4411951848
2016-01-04 03:11:00,85607.7209009583
2016-01-04 04:11:00,24316.3482945405
2016-01-04 05:11:00,90597.3448939119
2016-01-04 06:11:00,45293.734710054596
2016-01-04 07:11:00,39351.9210858576
2016-01-04 08:11:00,103651.1500120338
2016-01-04 09:11:00,328.902208239
2016-01-04 10:11:00,21856.375526888103
2016-01-04 11:11:00,99217.99539596669
2016-01-04 12:11:00,101115.9201722241
2016-01-04 13:11:00,72289.24961951221
2016-01-04 14:11:00,51409.1466346227
2016-01-04 15:11:00,98846.09098491269
2016-01-04 16:11:00,79569.40504695929
2016-01-04 17:11:00,44066.5114019922
2016-01-04 18:11:00,38923.968557529
2016-01-04 19:11:00,104472.91937673031
2016-01-04 20:11:00,151905.37159058911
2016-01-04 21:11:00,87440.24303578741
2016-01-04 22:11:00,130267.72388323981
2016-01-04 23:11:00,27595.2415785024
2016-01-05 00:11:00,71108.8254715839
2016-01-05 01:11:00,27928.9440678402
2016-01-05 02:11:00,3681.6314302548003
2016-01-05 03:11:00,43653.9002484156
2016-01-05 04:11:00,14484.9424309722
2016-01-05 05:11:00,23018.0849257788
2016-01-05 06:11:00,21735.4356546261
2016-01-05 07:11:00,40175.402833061096
2016-01-05 08:11:00,46484.1059888304
2016-01-05 09:11:00,68104.1546317539
2016-01-05 10:11:00,2869.1551510644003
2016-01-05 11:11:00,77938.3035510156
2016-01-05 12:11:00,32365.9521770079
2016-01-05 13:11:00,64432.8138927363
2016-01-05 14:11:00,65733.0614525046
2016-01-05 15:11:00,58264.8254663739
2016-01-05 16:11:00,43937.2346620911
2016-01-05 17:11:00,117847.3040309928
2016-01-05 18:11:00,84826.4156129577
2016-01-05 19:11:00,36025.5528073023
2016-01-05 20:11:00,33325.366978299
2016-01-05 21:11:00,76639.5809225046
