t,w
2016-01-01 00:11:00,0.0
2016-01-01 01:11:00,0.0
2016-01-01 02:11:00,0.0
2016-01-01 03:11:00,0.0
2016-01-01 04:11:00,0.0
2016-01-01 05:11:00,0.0
2016-01-01 06:11:00,0.0
2016-01-01 07:11:00,0.0
2016-01-01 08:11:00,1322.829
2016-01-01 09:11:00,4244.269499999999
2016-01-01 10:11:00,6768.954000000001
2016-01-01 11:11:00,10661.890500000001
2016-01-01 12:11:00,935.8065000000001
2016-01-01 13:11:00,0.0
2016-01-01 14:11:00,0.0
2016-01-01 15:11:00,0.0
2016-01-01 16:11:00,0.0
2016-01-01 17:11:00,0.0
2016-01-01 18:11:00,0.0
2016-01-01 19:11:00,0.0
2016-01-01 20:11:00,0.0
2016-01-01 21:11:00,0.0
2016-01-01 22:11:00,0.0
2016-01-01 23:11:00,0.0
2016-01-02 00:11:00,0.0
2016-01-02 01:11:00,0.0
2016-01-02 02:11:00,0.0
2016-01-02 03:11:00,0.0
2016-01-02 04:11:00,0.0
2016-01-02 05:11:00,0.0
2016-01-02 06:11:00,0.0
2016-01-02 07:11:00,0.0
2016-01-02 08:11:00,246.58200000000002
2016-01-02 09:11:00,2736.0405
2016-01-02 10:11:00,470.4525
2016-01-02 11:11:00,1666.2825000000003
2016-01-02 12:11:00,68.1345
2016-01-02 13:11:00,71.379
2016-01-02 14:11:00,1498.0320000000002
2016-01-02 15:11:00,0.0
2016-01-02 16:11:00,0.0
2016-01-02 17:11:00,0.0
2016-01-02 18:11:00,0.0
2016-01-02 19:11:00,0.0
2016-01-02 20:11:00,0.0
2016-01-02 21:11:00,0.0
2016-01-02 22:11:00,0.0
2016-01-02 23:11:00,0.0
2016-01-03 00:11:00,0.0
2016-01-03 01:11:00,0.0
2016-01-03 02:11:00,0.0
2016-01-03 03:11:00,0.0
2016-01-03 04:11:00,0.0
2016-01-03 05:11:00,0.0
2016-01-03 06:11:00,0.0
2016-01-03 07:11:00,0.0
2016-01-03 08:11:00,0.0
2016-01-03 09:11:00,0.0
2016-01-03 10:11:00,376.36199999999997
2016-01-03 11:11:00,0.0
2016-01-03 12:11:00,72.30600000000001
2016-01-03 13:11:00,713.3265
2016-01-03 14:11:00,0.0
2016-01-03 15:11:00,0.0
2016-01-03 16:11:00,0.0
2016-01-03 17:11:00,0.0
2016-01-03 18:11:00,0.0
2016-01-03 19:11:00,0.0
2016-01-03 20:11:00,0.0
2016-01-03 21:11:00,0.0
2016-01-03 22:11:00,0.0
2016-01-03 23:11:00,0.0
2016-01-04 00:11:00,0.0
2016-01-04 01:11:00,0.0
2016-01-04 02:11:00,0.0
2016-01-04 03:11:00,0.0
2016-01-04 04:11:00,0.0
2016-01-04 05:11:00,0.0
2016-01-04 06:11:00,0.0
2016-01-04 07:11:00,0.0
2016-01-04 08:11:00,267.903
2016-01-04 09:11:00,0.0
2016-01-04 10:11:00,83.8935
2016-01-04 11:11:00,488.99250000000006
2016-01-04 12:11:00,80.649
2016-01-04 13:11:00,740.2095
2016-01-04 14:11:00,1261.1835
2016-01-04 15:11:00,0.0
2016-01-04 16:11:00,0.0
2016-01-04 17:11:00,0.0
2016-01-04 18:11:00,0.0
2016-01-04 19:11:00,0.0
2016-01-04 20:11:00,0.0
2016-01-04 21:11:00,0.0
2016-01-04 22:11:00,0.0
2016-01-04 23:11:00,0.0
2016-01-05 00:11:00,0.0
2016-01-05 01:11:00,0.0
2016-01-05 02:11:00,0.0
2016-01-05 03:11:00,0.0
2016-01-05 04:11:00,0.0
2016-01-05 05:11:00,0.0
2016-01-05 06:11:00,0.0
2016-01-05 07:11:00,0.0
2016-01-05 08:11:00,0.0
2016-01-05 09:11:00,1009.0395
2016-01-05 10:11:00,0.0
2016-01-05 11:11:00,0.0
2016-01-05 12:11:00,0.0
2016-01-05 13:11:00,0.0
2016-01-05 14:11:00,563.1525
